Video-Filename,Translation-English-Manual-Response-Correction
0_17_19F3A652-3AA-0032A-00000B64-19F2B6C5,"Das Video zeigt eine malerische Ansicht eines Flusses, der durch eine Landschaft mit Bäumen auf beiden Seiten fließt. Die Sonne geht hinter den Bäumen unter, wirft einen warmen Glanz auf das Wasser und schafft lange Schatten am Ufer. Die Kamera zeigt den Flussfluss und die Bewegung der Zweige der Bäume im Wind. Die Blätter der Bäume sind sichtbar und schaffen einen Schichteneffekt, wobei das Sonnenlicht durch sie filtert. Das Wasser ist ruhig und spiegelt die Farben des Himmels wider. Die Ufer sind mit Vegetation bedeckt."
100_20_1CF7EACF-2DE-00002-000003E4-1CF61C1D,"Das Video zeigt einen malerischen Strand mit hohen Bäumen im Vordergrund und einem ruhigen Ozean im Hintergrund. Die Kamera schwebt über den Strand und zeigt zwei Männer, die auf dem Sandstrand stehen, einer von ihnen macht Fotos mit einer Kamera. Die Wellen lappen sanft am Ufer und erzeugen einen beruhigenden Klang. Der Strand ist meist leer, mit ein paar Strandstühlen und Regenschirmen hier und da verstreut. Der Ozean ist eine leuchtend blaue Farbe, mit ein paar Booten in der Ferne sichtbar. Der Himmel ist klar und blau, mit ein paar geschwollenen Wolken verstreut."
101_5_1CF7EC73-387-00004-000003E4-1CF61C1D,"Im Video steht ein Mann mittleren Alters mit kurzen braunen Haaren und einem Bart in einem schwarzen Anzug und Krawatte vor einem Weihnachtsbaum. Er hält ein Mikrofon in der einen Hand und ein Stück Papier in der anderen. Der Mann schaut direkt in die Kamera und beginnt zu sprechen. Die Kamera zoomt auf sein Gesicht, während er spricht. Die Stimme des Mannes ist klar und selbstbewusst. Er steht in einem schwach beleuchteten Raum mit einem Weihnachtsbaum im Hintergrund. Der Baum ist mit Lichtern und Ornamenten verziert. Die Gesichtsausdrücke und Körpersprache des Mannes vermitteln Begeisterung und Aufregung, während er spricht."
102_80_1CF7EDF1-329-00006-000003E4-1CF61C1D,"Im Video kann man eine Reihe alter Kanonen an der Wand einer Festung sehen, die über eine malerische Bucht blickt. Die Kanonen sind aus Bronze und haben komplizierte Details an ihren Fässern und Rädern. Sie sind in einer Reihe angeordnet, jeder mit Blick auf das Meer. Die Bucht ist ruhig und klar, mit ein paar Booten sichtbar auf dem Wasser. In der Ferne erhebt sich eine Bergkette von der Küste, mit ein paar Bäumen sichtbar auf den Hängen. Der Himmel ist klar und blau, mit ein paar geschwollenen Wolken verstreut. Das Video wird langsam entlang der Kanonenlinie geworfen, die eine gute Sicht auf jeden bietet. Die Beleuchtung ist hell und sonnig, mit ein paar Schatten von den Kanonen und der Wand."
103_60_1CF7EE90-2B0-00008-000003E4-1CF61C1D,"Im Video ist eine graue Krabbe zu sehen, die entlang des Randes einer Steinplattform in der Nähe eines Gewässers geht. Die Krabbe wird aus niedrigem Winkel gesehen und die Kamera schiebt sich nach unten, um ihrer Bewegung zu folgen. Die Plattform ist von üppiger grüner Vegetation umgeben, und die Krabbe geht nach rechts zum Bild. Das Wasser ist ruhig und klar und ein kleines Dock ist in der Ferne sichtbar. Die Muschel der Krabbe ist mit kleinen Graten und Stacheln bedeckt und ihre Beine sind lang und dünn. Während sie geht, scheint sie nach Nahrung oder einem Versteck zu suchen. Der Hintergrund ist ein hellblauer Himmel mit ein paar weißen Wolken und der Klang der Wellen kann in der Ferne gehört werden."
104_8_1CF7EF73-16D-0000A-000003E4-1CF61C1D,"Das Video zeigt einen Panoramablick auf eine Stadtstraße in den 1980er Jahren. Die Kamera schwebt von links nach rechts und zeigt ein Hochhaus mit einer großen Glasfassade, eine Werbefläche mit einer Werbung und eine Gruppe von Menschen, die auf dem Bürgersteig laufen. Die Straße ist voll mit Autos, Bussen und Lastwagen, die vorbeifliegen. Das Gebäude auf der linken Seite des Rahmens scheint ein Hotel- oder Bürokomplex mit einer großen Glaslobby und einer Parkgarage zu sein. Die Menschen auf dem Bürgersteig sind in lässige, 80-Jahre-Kleidung gekleidet, Männer tragen Jeans und Frauen tragen Röcke und Blusen. Der Himmel ist klar und blau, mit ein paar weißen Wolken sichtbar.  Das Video ist körnig und hat einen warmen Farbton, was darauf hindeutet, dass es auf Film gedreht wurde."
105_54_1CF7F030-077-0000C-000003E4-1CF61C1D,"Das Video zeigt einen hohen, schlanken Kirchturm mit einem Turm im Zentrum einer mittelalterlichen Stadt. Der Turm ist mit einem Kreuz überzogen und hat eine Reihe kleiner gewölbter Fenster. Die Kirche ist von einer Gruppe von niedrig aufragenden Gebäuden mit roten Fliesendächern umgeben und liegt im Herzen der Stadt, umgeben von engen Gassen und historischen Gebäuden. Der Himmel ist klar und blau, mit ein paar weißen Wolken verstreut. Die Kamera schiebt sich nach oben, um den Turm in Bezug auf die umliegende Stadt zu zeigen, was ein Gefühl für die Größe und Bedeutung der Kirche in der Gemeinschaft gibt."
106_150_1CF7F095-159-0000E-000003E4-1CF61C1D,"Das Video zeigt eine Straße und einen Fluss, mit einer Brücke in der Ferne. Es sind zwei Menschen auf dem Bürgersteig und die Kamera ist auf einem Auto montiert, das auf der Straße fährt. Der Himmel ist bewölkt, mit dunklen Wolken und einem Hauch von Sonnenlicht, der durchschaut. Der Fluss ist ruhig und still, mit ein paar Wellen an der Oberfläche. Die Brücke ist eine hohe Stahlkonstruktion mit einer zentralen Säule und zwei Bürgersteigspfaden für Fußgänger. Das Video wird in Echtzeit mit einer glatten und stetigen Kamerabewegung aufgenommen. Der Fokus liegt auf den Menschen und der Brücke, mit verschwommenem Hintergrund."
107_5_1CF7F2B0-3AD-00010-000003E4-1CF61C1D,"In diesem Video geht eine Person mit einem kleinen Hund entlang einer felsigen Küste. Die Kamera folgt der Person und dem Hund, während sie sich entlang der Felsen bewegen, wobei die Ozeanwellen im Hintergrund gegen das Ufer stürzen. Die Person trägt ein gestreiftes Hemd und trägt einen Rucksack, und der Hund ist ein kleiner, flauschiger weißer Hund mit einem rosa Kragen. Das Video wird in einer ruhigen und friedlichen Atmosphäre mit dem Klang der Wellen und dem Wind im Hintergrund gedreht."
108_4_1CF7F3F4-1D8-00013-000003E4-1CF61C1D,"Im Video wird eine Person gesehen, die in einem Pool schwimmt mit einem malerischen Blick auf den Ozean und die umliegende Landschaft. Der Pool befindet sich auf einer Klippe mit Blick auf das Meer, und das Wasser ist kristallklar. Die Person trägt einen Badeanzug und schwimmt Runden im Pool. Die Sonne geht im Hintergrund unter und wirft einen warmen Glanz auf die Szene. Der Himmel ist mit Farbtönen aus Orange, Rosa und Lila bemalt. Die Wellen können in der Ferne gesehen werden, wie sie gegen das Ufer stürzen. Die Person schwimmt mit Leichtigkeit, ihre Arme und Beine bewegen sich anmutig durch das Wasser. Die Ränder des Pools sind mit Felsen und Pflanzen gesäumt und verleihen der Umgebung einen natürlichen Touch."
